date,equity,returns,drawdown
2018-06-21,100000.0,0.0,0.0
2018-06-22,101248.34815,0.012483481500000115,0.0
2018-06-25,100615.90185,-0.006246485118582279,-0.006246485118582258
2018-06-26,100626.24815,0.0001028296701592879,-0.006144297772427468
2018-06-27,100231.05184999999,-0.003927367930988579,-0.010047534785386189
2018-06-28,100028.00185,-0.002025819307013399,-0.012052999602443437
2018-06-29,101218.40185,0.01190066759291164,-0.0002957707512980351
2018-07-02,101289.70185000001,0.0007044173657837494,0.0
2018-07-03,102110.62685,0.00810472323450706,0.0
2018-07-04,102797.50185,0.006726772924516622,0.0
2018-07-05,103240.75185,0.004311875211197025,0.0
2018-07-06,102706.05184999999,-0.005179156393367634,-0.00517915639336766
2018-07-09,103701.54835305999,0.009692676187318616,0.0
2018-07-10,103661.95836082,-0.0003817685740351573,-0.00038176857403514146
2018-07-11,104348.79877984,0.006625771207498188,0.0
2018-07-12,103550.99433903999,-0.007645554621891315,-0.007645554621891322
2018-07-13,104723.26217033,0.011320681551852951,0.0
2018-07-16,105493.26248598,0.007352715143628785,0.0
2018-07-17,105537.51461818,0.0004194782790596374,0.0
2018-07-18,105369.49986297,-0.0015919908273172023,-0.0015919908273171787
2018-07-19,104951.26500192001,-0.003969221279344515,-0.0055548931427933925
2018-07-20,106420.99492130999,0.014003927626437873,0.0
2018-07-23,106827.64768796999,0.0038211705026878207,0.0
2018-07-24,107341.32985335999,0.004808513306315598,0.0
2018-07-25,108214.61431639,0.00813558453414931,0.0
2018-07-26,108848.38153680999,0.0058565769921521404,0.0
2018-07-27,108264.59660930999,-0.005363285326411393,-0.005363285326411417
2018-07-30,110458.53437342,0.02026459094497146,0.0
2018-07-31,109706.5572133,-0.006807777818034766,-0.006807777818034813
2018-08-01,110436.73633138998,0.006655747264680878,-0.00019734140194477203
2018-08-02,109615.09042403998,-0.0074399691139410695,-0.007635842301950524
2018-08-03,111246.15951667,0.014879968499960317,0.0
2018-08-06,111449.04874397,0.0018237863507513108,0.0
2018-08-07,109910.26668139998,-0.013807045281337693,-0.013807045281337747
2018-08-08,111317.53486666999,0.01280379192736647,-0.0011800358888852587
2018-08-09,113551.79217923999,0.020071027581109124,0.0
2018-08-10,110462.41468752999,-0.027206769989446378,-0.027206769989446343
2018-08-13,108296.14280747,-0.019610940845244285,-0.04628416047783746
2018-08-14,107994.03481948999,-0.002789646797643597,-0.04894469081542241
2018-08-16,107507.88342647998,-0.004501650427475856,-0.05322600935456639
2018-08-17,110041.35979488998,0.023565493875084442,-0.030914812676922192
2018-08-20,111401.71132193999,0.012362183905993307,-0.01893480337066034
2018-08-21,111325.29456070998,-0.0006859567983580339,-0.019607771711920734
