,portfolio,investment,cash
2018-09-25,106327.86493242001,105820.38103620001,507.48389622000104
2018-09-26,106054.02551522,105546.541619,507.48389622000104
2018-09-27,106812.42720841999,106304.94331219999,507.48389622000104
2018-09-28,107450.73908582,106943.2551896,507.48389622000104
2018-10-01,108402.54285282,107895.0589566,507.48389622000104
2018-10-03,105869.89896322,105362.415067,507.48389622000104
2018-10-04,103319.02727642,70720.001,32599.02627642
2018-10-05,105059.02427642,72459.99799999999,32599.02627642
2018-10-08,104044.02727642,71445.001,32599.02627642
2018-10-09,104374.02627642,71775.0,32599.02627642
2018-10-10,108924.02827642001,108749.0034,175.02487642000779
2018-10-11,105575.02487642001,0.0,105575.02487642001
2018-10-12,107439.81815642002,107318.39664,121.42151642001409
2018-10-15,106599.81815642002,0.0,106599.81815642002
2018-10-16,108938.91476642003,108700.34661000001,238.5681564200204
2018-10-17,106955.76476642002,106717.19661,238.5681564200204
2018-10-19,107176.12154642002,106937.55339,238.5681564200204
2018-10-22,111125.47154642001,110886.90338999999,238.5681564200204
2018-10-23,109684.72154642001,109446.15338999999,238.5681564200204
2018-10-24,109396.56815642002,109158.0,238.5681564200204
2018-10-25,108701.62154642002,108463.05339,238.5681564200204
2018-10-26,107243.91476642003,107005.34661000001,238.5681564200204
2018-10-29,111769.56815642002,0.0,111769.56815642002
2018-10-30,111207.81815642002,110969.70321,238.11494642001344
2018-10-31,114193.11494642001,113955.0,238.11494642001344
2018-11-01,113775.81815642002,113537.70321,238.11494642001344
2018-11-02,114016.56815642002,113778.45321,238.11494642001344
2018-11-05,112267.11494642001,112029.0,238.11494642001344
2018-11-06,113583.21815642001,113345.10321,238.11494642001344
2018-11-07,114482.01173642001,114243.89679,238.11494642001344
2018-11-09,114786.96815642001,114548.85321,238.11494642001344
2018-11-12,113342.46815642001,113104.35321,238.11494642001344
2018-11-13,116087.01173642001,115848.89679,238.11494642001344
2018-11-14,117403.11494642001,0.0,117403.11494642001
2018-11-15,118651.11174642,118400.0,251.11174642000697
2018-11-16,117867.10854642,117615.9968,251.11174642000697
2018-11-19,116219.10854642,115967.9968,251.11174642000697
2018-11-20,116091.11174642,0.0,116091.11174642
2018-11-21,116221.10849642001,115943.75,277.35849642001267
2018-11-22,114693.60524642,114416.24674999999,277.35849642001267
2018-11-26,116091.11174642,115813.75325,277.35849642001267
2018-11-27,115538.60524642002,115261.24675,277.35849642001267
2018-11-28,116952.35849642001,116675.0,277.35849642001267
2018-11-29,117992.36174642002,117715.00325000001,277.35849642001267
2018-11-30,115701.10524642002,115423.74675,277.35849642001267
2018-12-03,115814.85849642001,115537.5,277.35849642001267
2018-12-04,116611.11174642002,116333.75325000001,277.35849642001267
2018-12-05,114482.35524642002,114204.99675,277.35849642001267
2018-12-06,113263.60524642002,112986.24675,277.35849642001267
2018-12-07,114742.36174642002,114465.00325000001,277.35849642001267
2018-12-10,112841.11174642,112563.75325,277.35849642001267
2018-12-11,110120.50524642003,109156.15000000001,964.3552464200184
2018-12-12,111489.75524642003,111376.65000000001,113.10524642001837
2018-12-13,112349.00524642003,112235.90000000001,113.10524642001837
2018-12-14,112052.80527642001,111939.70002999999,113.10524642001837
2018-12-17,113882.20524642001,113769.09999999999,113.10524642001837
2018-12-18,114170.20524642001,114057.09999999999,113.10524642001837
2018-12-19,113558.05527642001,113444.95002999999,113.10524642001837
2018-12-20,114280.10521642001,114166.99996999999,113.10524642001837
2018-12-21,112879.74991642001,112766.64467,113.10524642001837
2018-12-24,111266.69991642001,111153.59466999999,113.10524642001837
2018-12-26,113480.11051642003,113367.00527000001,113.10524642001837
2018-12-27,112557.20521642003,112444.09997000001,113.10524642001837
2018-12-28,113511.19991642001,113398.09466999999,113.10524642001837
2018-12-31,113450.90521642001,113337.79997,113.10524642001837
2019-01-01,114861.21057642002,114748.10533,113.10524642001837
2019-01-02,113805.30521642002,113692.19997,113.10524642001837
2019-01-03,112911.80527642003,112798.70003,113.10524642001837
2019-01-04,113230.90521642001,113117.79997,113.10524642001837
2019-01-07,113396.44991642001,113283.34466999999,113.10524642001837
2019-01-08,112459.50521642002,111459.0,1000.5052164200183
2019-01-09,113190.80521642002,112877.94999000001,312.8552264200183
2019-01-10,112748.40521642001,112435.54999,312.8552264200183
2019-01-11,112924.84991642,112611.99468999999,312.8552264200183
2019-01-14,112374.04992642,112061.1947,312.8552264200183
2019-01-15,113447.94991642001,113135.09469,312.8552264200183
2019-01-16,113361.90520642001,113049.04998,312.8552264200183
2019-01-17,113996.75522642002,113683.90000000001,312.8552264200183
2019-01-18,113886.85522642001,113275.25,611.6052264200183
2019-01-21,114835.24993642,114223.64471,611.6052264200183
2019-01-22,114186.31049642002,113945.40528,240.9052164200183
2019-01-23,112558.74993642,112317.84472,240.9052164200183
2019-01-24,112392.15521642001,112151.25,240.9052164200183
2019-01-25,112059.25519642001,111818.34998,240.9052164200183
2019-01-28,111428.79992642,111187.89471,240.9052164200183
2019-01-29,110021.61053642002,109780.70532000001,240.9052164200183
2019-01-30,110652.05523642001,109736.90002,915.1552164200183
2019-01-31,109819.71811163003,109445.04256371001,374.6755479200183
2019-02-01,112086.56173862002,111711.8861907,374.6755479200183
2019-02-04,110677.92914868002,110303.25360076,374.6755479200183
2019-02-05,111061.47558138003,110686.80003346001,374.6755479200183
2019-02-06,115593.33474782002,114635.79999,957.5347578200183
2019-02-07,114969.81339923001,114601.4329556,368.38044363001825
2019-02-08,115404.09446034001,115035.71401671,368.38044363001825
2019-02-11,113297.10468034001,112928.72423671,368.38044363001825
2019-02-12,111799.37109881002,111430.99065518001,368.38044363001825
2019-02-13,110493.38950022003,109558.00002,935.3894802200183
2019-02-14,111261.83947022002,110326.44999,935.3894802200183
2019-02-15,109243.54369022003,108308.15421000001,935.3894802200183
2019-02-18,108753.33947022002,107817.94999,935.3894802200183
2019-02-19,109171.28947022003,108235.89999,935.3894802200183
2019-02-20,111134.38529022002,110198.99581,935.3894802200183
2019-02-21,113175.23949022002,112933.44999,241.78950022001834
2019-02-22,112576.33529022001,111631.74581,944.5894802200183
2019-02-25,113330.08954022003,113091.60004,238.48950022001839
2019-02-26,113306.48950022002,112368.0,938.4895002200184
2019-02-27,112637.73950022002,111699.25,938.4895002200184
2019-02-28,112912.27204524001,112852.07709742,60.194947820018456
2019-03-01,113412.69625609001,112493.40002,919.2962360900185
2019-03-05,114848.09203609,113928.79579999999,919.2962360900185
2019-03-06,117997.49531611003,117888.34779856,109.1475175500293
2019-03-07,118503.81771513002,117660.67019758,843.1475175500293
2019-03-08,118212.03963031003,117368.89211276,843.1475175500293
2019-03-11,121639.27426635004,120796.12674880002,843.1475175500293
2019-03-12,124197.62776759,123954.24720857998,243.3805590100293
2019-03-13,125999.02856839003,125799.89679,199.13177839003595
2019-03-14,124715.02856839003,124515.89679,199.13177839003595
2019-03-15,127090.42856839002,126891.29679,199.13177839003595
2019-03-18,127973.17856839002,127774.04679,199.13177839003595
2019-03-19,128085.52856839003,127886.39679,199.13177839003595
2019-03-20,126320.02856839003,126120.89679,199.13177839003595
2019-03-22,125966.92856839002,125767.79679,199.13177839003595
2019-03-25,123302.63177839003,123103.5,199.13177839003595
2019-03-26,126705.23498839003,126506.10321,199.13177839003595
2019-03-27,126416.33498839004,126217.20321,199.13177839003595
2019-03-28,128775.67856839002,128576.54679,199.13177839003595
2019-03-29,128759.63177839003,128560.5,199.13177839003595
2019-04-01,128037.38177839003,127838.25,199.13177839003595
2019-04-02,127684.27856839003,127485.14679,199.13177839003595
2019-04-03,126063.23498839003,125864.10321,199.13177839003595
2019-04-04,124987.88177839003,124788.75,199.13177839003595
2019-04-05,125565.67856839002,125366.54679,199.13177839003595
2019-04-08,124458.23498839003,124259.10321,199.13177839003595
2019-04-09,127684.27856839003,127485.14679,199.13177839003595
2019-04-10,126737.33498839004,126538.20321,199.13177839003595
2019-04-11,125405.17856839002,125206.04679,199.13177839003595
2019-04-12,126865.73498839003,126666.60321,199.13177839003595
2019-04-15,126271.88177839003,126072.75,199.13177839003595
2019-04-16,130846.13177839003,130647.0,199.13177839003595
2019-04-18,130011.52856839003,129812.39679,199.13177839003595
2019-04-22,126833.63177839003,126634.5,199.13177839003595
2019-04-23,127475.63177839003,127276.5,199.13177839003595
2019-04-24,128952.23498839003,128753.10321,199.13177839003595
2019-04-25,127122.52856839003,126923.39679,199.13177839003595
2019-04-26,130910.33498839004,130711.20321,199.13177839003595
2019-04-30,131006.63177839003,130807.5,199.13177839003595
2019-05-02,127170.67856839002,126971.54679,199.13177839003595
2019-05-03,129176.92856839002,128977.79679,199.13177839003595
2019-05-06,129016.42856839002,128817.29679,199.13177839003595
2019-05-07,124265.63177839003,124066.5,199.13177839003595
2019-05-08,122885.33498839004,122686.20321,199.13177839003595
2019-05-09,122628.52856839003,122429.39679,199.13177839003595
2019-05-10,123816.23498839003,123617.10321,199.13177839003595
2019-05-13,123784.13177839003,0.0,123784.13177839003
2019-05-14,126517.72373839002,126489.29598,28.4277583900257
2019-05-15,125492.63177839003,125464.20402,28.4277583900257
2019-05-16,126959.92775839003,126931.5,28.4277583900257
2019-05-17,128366.92775839003,128338.5,28.4277583900257
2019-05-20,134227.67939839003,131606.25164,2621.4277583900257
2019-05-21,133465.44346072007,132134.83982075003,1330.6036399700256
2019-05-22,134624.37533501,132688.69976,1935.6755750100256
2019-05-23,134125.33220497,134040.41729182,84.91491315002554
2019-05-24,139296.05807017,139211.14315701998,84.91491315002554
2019-05-27,138942.18152072004,138656.16030757,286.0212131500259
2019-05-28,137418.79468866004,137132.77347551,286.0212131500259
2019-05-29,137026.40215558003,66546.99000515,70479.41215043003
2019-05-30,139395.79017964005,139064.30343481002,331.48674483002105
2019-05-31,139746.5755569,139415.08881207,331.48674483002105
2019-06-03,141594.46868893004,141262.9819441,331.48674483002105
2019-06-04,141085.23354767,140753.74680284,331.48674483002105
2019-06-06,138920.45174432005,138580.36443949002,340.08730483002
2019-06-07,140663.90436316002,140660.81705833,3.0873048300200026
2019-06-10,141820.30294809001,141817.21564326,3.0873048300200026
2019-06-11,142963.89962787,142960.81232303998,3.0873048300200026
2019-06-12,141762.16291043005,141759.07560560002,3.0873048300200026
2019-06-13,142771.74121613003,142768.6539113,3.0873048300200026
2019-06-14,141442.82417032003,141439.73686549,3.0873048300200026
2019-06-17,139558.22173447,137774.51921559998,1783.70251887002
2019-06-18,140915.73843857,139132.0359197,1783.70251887002
2019-06-19,140912.00885217,139128.3063333,1783.70251887002
2019-06-20,143545.35514257004,143054.65227370002,490.70286887002203
2019-06-21,142595.83034507002,142105.1274762,490.70286887002203
2019-06-24,142059.35656217003,141568.6536933,490.70286887002203
2019-06-25,143284.89255787001,142794.189689,490.70286887002203
2019-06-26,142511.02482257003,49973.1700537,92537.85476887002
2019-06-27,143339.47933357002,142121.6245647,1217.85476887002
2019-06-28,143303.80932357002,142085.9545547,1217.85476887002
2019-07-01,143974.12204947002,142756.2672806,1217.85476887002
2019-07-02,144214.99946787002,142634.994709,1580.00475887002
2019-07-03,144151.91325387004,144032.908495,119.00475887001994
2019-07-04,145120.45240197002,145001.4476431,119.00475887001994
2019-07-05,145080.95727577002,144961.9525169,119.00475887001994
2019-07-08,144217.93672177003,25909.731962899998,118308.20475887002
2019-07-09,151205.53394077002,148837.32918190002,2368.2047588700225
2019-07-10,151108.66203327003,150889.9573144,218.70471887001077
2019-07-11,149985.27650197002,149766.5717831,218.70471887001077
2019-07-12,149812.27192287002,149593.567204,218.70471887001077
2019-07-15,148042.61246787003,147823.907749,218.70471887001077
2019-07-16,148726.82426197003,148508.1195431,218.70471887001077
2019-07-17,148446.92561697002,148228.2208981,218.70471887001077
2019-07-18,146416.60421947003,146197.8995006,218.70471887001077
2019-07-19,146607.64234067,23358.2405518,123249.40178887
2019-07-22,146786.28907257,23536.887283699998,123249.40178887
2019-07-23,146858.43679717,23609.035008299998,123249.40178887
2019-07-24,146535.49461607,23286.0928272,123249.40178887
2019-07-25,146267.52314447,0.0,146267.52314447
2019-07-26,146267.52314447,0.0,146267.52314447
2019-07-29,145037.47651447,144690.95337,346.5231444700039
2019-07-30,143689.47651447,143342.95337,346.5231444700039
2019-07-31,143436.72651447,143090.20337,346.5231444700039
2019-08-01,140892.36977447,140545.84663,346.5231444700039
2019-08-02,139830.81977447,0.0,139830.81977447
2019-08-05,147052.12959305002,146764.920082,287.20951105002314
2019-08-06,151462.87280355004,151175.66329250002,287.20951105002314
2019-08-07,150498.66382265004,150211.4543116,287.20951105002314
2019-08-08,152980.98086601004,152693.77135496002,287.20951105002314
2019-08-09,152570.67917201004,152283.46966096002,287.20951105002314
2019-08-13,144569.79613483002,144282.58662378,287.20951105002314
2019-08-14,148488.18552205004,148200.97601100002,287.20951105002314
2019-08-16,148631.78290961002,148344.57339856,287.20951105002314
2019-08-19,148406.12107849002,148118.91156744,287.20951105002314
2019-08-20,147195.72698061002,146908.51746956,287.20951105002314
2019-08-21,145903.27664033003,145616.06712928,287.20951105002314
2019-08-22,145021.13210299003,144733.92259194,287.20951105002314
2019-08-23,146518.72918551002,146231.51967446,287.20951105002314
2019-08-26,148262.51138501003,147975.30187396,287.20951105002314
2019-08-27,143195.28545993002,142908.07594888,287.20951105002314
2019-08-28,143687.65159749004,0.0,143687.65159749004
2019-08-29,143687.65159749004,0.0,143687.65159749004
2019-08-30,143687.65159749004,0.0,143687.65159749004
2019-09-03,143687.65159749004,0.0,143687.65159749004
2019-09-04,143687.65159749004,0.0,143687.65159749004
2019-09-05,143687.65159749004,0.0,143687.65159749004
2019-09-06,143152.15669749005,142825.50340000002,326.65329749003286
2019-09-09,141273.64989749002,140946.99659999998,326.65329749003286
2019-09-11,139743.64989749002,139416.99659999998,326.65329749003286
2019-09-12,139114.65669749005,138788.00340000002,326.65329749003286
2019-09-13,141307.65159749004,140980.9983,326.65329749003286
2019-09-16,141035.65499749003,140709.0017,326.65329749003286
2019-09-17,141639.15329749003,141312.5,326.65329749003286
2019-09-18,141401.14989749002,141074.49659999998,326.65329749003286
2019-09-19,139845.65499749003,139519.0017,326.65329749003286
2019-09-20,147104.47161909004,146931.1920174,173.27960169003927
2019-09-23,152873.56979529004,151922.0,951.5697952900373
2019-09-24,152092.74583355006,151824.35780642,268.38802713003724
2019-09-25,151546.22919995003,150592.5981,953.6310999500372
2019-09-26,152241.63109995003,151288.0,953.6310999500372
2019-09-27,152447.52919995002,151493.8981,953.6310999500372
2019-09-30,151160.73109995003,150207.1,953.6310999500372
2019-10-01,150450.32919995,149496.69809999998,953.6310999500372
2019-10-03,149625.58109995004,75236.2,74389.38109995004
2019-10-04,146763.53109995002,144861.65,1901.881099950042
2019-10-07,146149.78109995002,70527.9,75621.88109995004
2019-10-09,149974.53108995006,146989.89999,2984.631099950042
2019-10-10,147772.90258530006,147767.2047664,5.697818900041966
2019-10-11,148994.13195225003,148988.43413334998,5.697818900041966
2019-10-14,149506.97429055005,113609.27647165,35897.697818900044
2019-10-15,150710.90103745004,148023.20321854998,2687.697818900044
2019-10-16,153448.68312005003,152826.28530115,622.3978189000436
2019-10-17,155601.72847455004,154979.33065565,622.3978189000436
2019-10-18,155547.75808750006,81125.3602686,74422.39781890005
2019-10-22,154836.01023410005,151218.61241519998,3617.397818900048
2019-10-23,155284.96584325004,151667.56802434998,3617.397818900048
2019-10-24,155161.15840530006,155018.0737139,143.0846914000481
2019-10-25,154677.27491440004,113798.889333,40878.38558140005
2019-10-29,156657.02744295006,156455.84899,201.178452950051
2019-10-30,155271.22734295006,155070.04889,201.178452950051
2019-10-31,155730.37855295005,107554.2001,48176.17845295005
2019-11-01,156291.28128295008,156180.05180000002,111.22948295005335
2019-11-04,157757.37938295008,157646.14990000002,111.22948295005335
2019-11-05,159581.02701295004,159469.79752999998,111.22948295005335
2019-11-06,160700.82881295006,160589.59933,111.22948295005335
2019-11-07,161209.58015295005,123268.35066999999,37941.22948295005
2019-11-08,161049.63381295008,160878.40433000002,171.22948295005335
2019-11-11,161332.92618295003,110897.69669999999,50435.22948295005
2019-11-13,160899.36469378002,160381.13230842998,518.2323853500493
2019-11-14,162967.44193701004,162449.20955166,518.2323853500493
2019-11-15,162887.99256873003,162369.76018337999,518.2323853500493
2019-11-18,161588.74745742005,161459.22194016,129.5255172600493
2019-11-19,162201.58575389005,161653.02246365,548.5632902400494
2019-11-20,163010.26305906006,162901.74341801,108.51964105004936
2019-11-21,163054.5768084401,162946.05716739004,108.51964105004936
2019-11-22,161785.66251583007,161261.93326568,523.7292501500494
2019-11-25,165195.82871722005,165181.10208483,14.72663239004828
2019-11-26,164652.70613278003,164281.04482403,371.6613087500489
2019-11-27,165045.08789373003,164673.42658497998,371.6613087500489
2019-11-28,164764.03486743005,138914.87405868,25849.160808750046
2019-11-29,163820.83780339005,163771.67699464,49.16080875004627
2019-12-02,162015.68897533003,161966.52816657998,49.16080875004627
2019-12-03,161712.52893980008,161663.36813105003,49.16080875004627
2019-12-04,162578.66578057004,162529.50497182,49.16080875004627
2019-12-05,162295.00880470005,162245.84799595,49.16080875004627
2019-12-06,161540.37033804003,161491.20952928998,49.16080875004627
2019-12-09,161747.03546567005,159667.87465692,2079.1608087500463
2019-12-10,162571.19615910004,160492.03535035,2079.1608087500463
2019-12-11,163648.63950734006,161569.47869859,2079.1608087500463
2019-12-12,164637.01415032003,162557.85334156998,2079.1608087500463
2019-12-13,165296.22047023004,165168.25972148,127.96074875004615
2019-12-16,164354.01979023003,164226.05904147998,127.96074875004615
2019-12-17,166433.02158603002,166305.06083727998,127.96074875004615
2019-12-18,167010.95236917006,166882.99162042,127.96074875004615
2019-12-19,167012.80784262004,166884.84709387,127.96074875004615
2019-12-20,167889.23102359002,140713.76977483998,27175.46124875005
2019-12-23,167652.36086050005,167279.89961175,372.461248750049
2019-12-24,166430.89070935006,166058.42946060002,372.461248750049
2019-12-26,165981.91606653002,165609.45481777997,372.461248750049
2019-12-27,168295.85469269005,167923.39344394,372.461248750049
2019-12-30,168101.35841856003,167728.89716981,372.461248750049
2019-12-31,166847.32714222002,166474.86589346998,372.461248750049
2020-01-01,166950.14498933003,166776.34795999998,173.79702933004592
2020-01-02,167533.79128933005,167359.99426,173.79702933004592
2020-01-03,166528.74820933008,166354.95118000003,173.79702933004592
2020-01-06,161701.54757933004,159537.55049,2163.997089330046
2020-01-07,162821.79619933004,134624.0996,28197.696599330044
2020-01-08,164084.09659933005,135886.4,28197.696599330044
2020-01-09,166064.45023933006,165993.85417,70.59606933004397
2020-01-10,166423.44776933,166352.85169999997,70.59606933004397
2020-01-13,166467.44630933006,166396.85024,70.59606933004397
2020-01-14,167219.09370933007,167148.49764000002,70.59606933004397
2020-01-15,167457.84370933007,167387.24764000002,70.59606933004397
2020-01-16,168017.69712933002,167947.10106,70.59606933004397
2020-01-17,167401.79683933005,167331.20077,70.59606933004397
2020-01-20,164873.39800933003,164802.80193999998,70.59606933004397
2020-01-21,164126.59723933,164056.00116999997,70.59606933004397
2020-01-22,164635.69816933008,164059.80246000004,575.8957093300414
2020-01-23,164633.44158933003,126857.54587999999,37775.89570933004
2020-01-24,165645.59440933005,127869.6987,37775.89570933004
2020-01-27,164694.19668933004,164613.30098,80.89570933004143
2020-01-28,165072.64640933005,164991.7507,80.89570933004143
2020-01-29,165544.72768795,164172.75913363998,1371.9685543100495
2020-01-30,165088.59404811007,163716.6254938,1371.9685543100495
2020-01-31,164556.82889503008,135372.66164072003,29184.167254310047
2020-02-01,165314.65329153003,99450.48603721999,65864.16725431004
2020-02-03,167581.29153361003,101717.1242793,65864.16725431004
2020-02-04,168563.38267961005,102699.2154253,65864.16725431004
2020-02-05,170418.85450919005,170093.39574,325.45876919003786
2020-02-06,170364.85244919002,170039.39367999998,325.45876919003786
2020-02-07,169635.16035919005,169309.70159,325.45876919003786
2020-02-10,168987.71108919004,168982.05231,5.658779190037876
2020-02-11,170020.80670919004,169694.09794,326.70876919003786
2020-02-12,171842.70847919,170528.49824999998,1314.210229190041
2020-02-13,171270.20998919004,170620.39976,649.8102291900395
2020-02-14,171319.80807919003,170669.99784999999,649.8102291900395
2020-02-17,170676.00804919002,152052.99725999997,18623.01078919004
2020-02-18,170874.46265919006,170860.05128,14.411379190041771
2020-02-19,172419.50839919003,153389.39760999999,19030.11078919004
2020-02-20,172862.80960919004,172674.34941,188.4601991900381
2020-02-24,168935.05536919003,168746.59517,188.4601991900381
2020-02-25,169616.11307919005,169427.65288,188.4601991900381
2020-02-26,167742.36273919005,167553.90254,188.4601991900381
2020-02-27,167171.70811919004,65037.24987,102134.45824919004
2020-02-28,165071.25904919003,0.0,165071.25904919003
2020-03-02,165071.25904919003,0.0,165071.25904919003
2020-03-03,165071.25904919003,0.0,165071.25904919003
2020-03-04,165071.25904919003,0.0,165071.25904919003
2020-03-05,167546.25904919003,166350.0,1196.2590491900337
2020-03-06,165363.75154919003,164167.4925,1196.2590491900337
2020-03-09,161696.25904919003,0.0,161696.25904919003
2020-03-11,161696.25904919003,0.0,161696.25904919003
2020-03-12,161696.25904919003,0.0,161696.25904919003
2020-03-13,161696.25904919003,0.0,161696.25904919003
2020-03-16,161696.25904919003,0.0,161696.25904919003
2020-03-17,161696.25904919003,0.0,161696.25904919003
2020-03-18,161696.25904919003,0.0,161696.25904919003
2020-03-19,161696.25904919003,0.0,161696.25904919003
2020-03-20,161696.25904919003,0.0,161696.25904919003
2020-03-23,161696.25904919003,0.0,161696.25904919003
2020-03-24,161696.25904919003,0.0,161696.25904919003
2020-03-25,167944.25104919003,167051.992,892.2590491900337
2020-03-26,168012.25904919003,0.0,168012.25904919003
2020-03-27,160628.50904919003,160541.25,87.25904919003369
2020-03-30,159312.25904919003,0.0,159312.25904919003
2020-03-31,163834.95904919002,163193.5,641.4590491900162
2020-04-01,163458.65904919,0.0,163458.65904919
2020-04-03,157625.96634919,157249.30730000001,376.65904918999877
2020-04-07,162436.65904919,0.0,162436.65904919
2020-04-08,164340.76564919,162416.1066,1924.6590491899988
2020-04-09,166921.35904918998,0.0,166921.35904918998
2020-04-13,164502.85904918998,164251.5,251.3590491899813
2020-04-15,170067.85904918998,0.0,170067.85904918998
2020-04-16,168034.66584919,165654.80680000002,2379.8590491899813
2020-04-17,164559.85904918998,162180.0,2379.8590491899813
2020-04-20,166939.85904918998,0.0,166939.85904918998
2020-04-21,169451.05174918997,169170.19269999999,280.8590491899813
2020-04-22,174469.80174918997,174188.94269999999,280.8590491899813
2020-04-23,169458.35904918998,169177.5,280.8590491899813
2020-04-24,166947.16634919,166666.30730000001,280.8590491899813
2020-04-27,169673.70904918996,169392.84999999998,280.8590491899813
2020-04-28,167447.20904918996,167166.34999999998,280.8590491899813
2020-04-29,167450.85904918998,0.0,167450.85904918998
2020-04-30,167450.85904918998,0.0,167450.85904918998
2020-05-04,177450.19266544998,177192.90924318,257.28342226997484
2020-05-05,175969.42230181998,175712.13887955,257.28342226997484
2020-05-06,181942.40726495,181685.12384268,257.28342226997484
2020-05-07,175969.42230181998,175712.13887955,257.28342226997484
2020-05-08,176634.93557581998,176377.65215355,257.28342226997484
2020-05-11,178681.39555132997,178424.11212906,257.28342226997484
2020-05-12,186551.08003622,186293.79661395002,257.28342226997484
2020-05-13,185253.33913207997,184996.05570981,257.28342226997484
2020-05-14,179895.94729282998,179638.66387056,257.28342226997484
2020-05-15,184637.72937007996,184380.44594781,257.28342226997484
2020-05-18,179296.98867520998,179039.70525294,257.28342226997484
2020-05-19,186101.86523083996,0.0,186101.86523083996
2020-05-20,182737.63366212999,182513.23327011,224.4003920199757
2020-05-21,182891.25140163,182666.85100961002,224.4003920199757
2020-05-22,182476.48964916996,182252.08925715,224.4003920199757
2020-05-26,175963.09442070997,0.0,175963.09442070997
2020-05-27,176620.65061043997,176320.6683282,299.98228223997285
2020-05-28,176511.06313045998,176211.08084822,299.98228223997285
2020-05-29,173332.83834874997,173032.85606651,299.98228223997285
2020-06-01,175352.49758297997,175052.51530074,299.98228223997285
2020-06-02,175055.02572543998,174755.0434432,299.98228223997285
2020-06-03,173035.38214772998,172735.39986549,299.98228223997285
